iter	MultiClass
0	1.913463225
1	1.887848508
2	1.859885848
3	1.838978597
4	1.808834624
5	1.790192458
6	1.769117742
7	1.749507657
8	1.729951931
9	1.71452283
10	1.69981156
11	1.6849215
12	1.671289847
13	1.659544647
14	1.641725164
15	1.63322945
16	1.618929269
17	1.606004262
18	1.594887506
19	1.580504299
20	1.565970217
21	1.559301089
22	1.550002529
23	1.533157485
24	1.520913296
25	1.515095998
26	1.509891068
27	1.500266054
28	1.497435517
29	1.490865588
30	1.482792364
31	1.476778925
32	1.471335487
33	1.465104205
34	1.457269263
35	1.449988632
36	1.440184542
37	1.433080631
38	1.425883251
39	1.419981513
40	1.412644038
41	1.406340074
42	1.403202571
43	1.40013797
44	1.392085379
45	1.38520856
46	1.37996301
47	1.37480728
48	1.372357326
49	1.369640461
50	1.364991432
51	1.359844354
52	1.35392462
53	1.352952846
54	1.347515011
55	1.343139429
56	1.336257676
57	1.328257295
58	1.321494009
59	1.317230631
60	1.311123333
61	1.306926524
62	1.302261244
63	1.297543603
64	1.291580055
65	1.288138748
66	1.284884323
67	1.281735767
68	1.276990859
69	1.273887016
70	1.271897228
71	1.268984965
72	1.26469307
73	1.260694506
74	1.258464992
75	1.252988048
76	1.249055221
77	1.244519057
78	1.243882183
79	1.239441817
80	1.231993534
81	1.227751442
82	1.223861168
83	1.218821206
84	1.212598195
85	1.208254291
86	1.203139893
87	1.202247132
88	1.200414557
89	1.194544378
90	1.192221881
91	1.186336768
92	1.180173183
93	1.177524812
94	1.172412586
95	1.166316665
96	1.161223281
97	1.159015101
98	1.152620244
99	1.149195034
1
