id,Station,Month,BOD,DO,pH,Phosphate,Ammonia,Nitrate,Year
river,river,1,1,7.9,8.4,0.087,0.001,0.223,2017
2,river,1,1,7.7,8,0.084,0.001,0.343,2017
3,river,1,1,8.1,8.3,0.072,0.001,0.149,2017
4,river,1,1,8.5,8.1,0.181,0.001,0.344,2017
5,river,1,1,7.6,8,0.101,0.001,0.335,2017
6,river,1,1,8.2,8.6,0.108,0.001,0.379,2017
7,river,1,1,7.7,8.4,0.088,0.001,0.001,2017
8,river,1,3,9.6,8.7,0.057,0.001,0.19,2017
9,river,1,1,7.7,7.8,0.066,0.001,0.393,2017
10,river,2,1,7.6,8,0.238,0.16,0.405,2017
11,river,2,2,7.6,7.9,0.173,0.572,0.44,2017
12,river,2,1,7.3,7.9,0.161,0.091,1.412,2017
13,river,2,0.5,9,8.4,0.13,0.074,2.631,2017
14,river,2,0.5,7.8,7.9,0.115,0.065,1.88,2017
15,river,2,2,8.8,8.4,0.131,0.034,0.509,2017
16,river,2,1,7.8,7.9,0.165,0.001,2.136,2017
17,river,2,1,7.7,8.1,0.145,0.04,2.592,2017
18,river,2,1,7.8,7.9,0.16,0.033,0.54,2017
19,river,3,2,8.9,7.9,0.069,0.009,0.267,2017
20,Stn. II (East Bay),3,2,9.4,8.4,0.049,0.1,0.197,2017
21,Stn. IV (Central Bay),3,2,8.4,8,0.088,0.033,0.372,2017
22,Stn. V ( Nothern West Bay),3,2,9,7.9,0.098,0.046,0.373,2017
23,Stn. VIII (South Bay),3,1,9.1,8.2,0.076,0.024,0.24,2017
24,Stn. XV (San Pedro),3,2,9.1,8.1,0.079,0.023,0.205,2017
25,Stn. XVI (Sta. Rosa),3,1,9.6,8.5,0.066,0.034,0.285,2017
26,Stn. XVII (Sanctuary),3,2,8.5,8.3,0.072,0.023,0.221,2017
27,Stn. XVIII (Pagsanjan),3,2,9.4,8.3,0.023,0.25,0.001,2017
28,Stn. I (Central West bay),4,3,6.3,7.7,0.317,0.111,0.413,2017
29,Stn. II (East Bay),4,3,7.2,7.8,0.156,0.038,0.021,2017
30,Stn. IV (Central Bay),4,3,6.9,7.8,0.143,0.03,0.144,2017
31,Stn. V ( Nothern West Bay),4,3,6.3,7.9,0.174,0.048,0.154,2017
32,Stn. VIII (South Bay),4,2,7.1,7.8,0.253,0.048,0.034,2017
33,Stn. XV (San Pedro),4,3,6.9,7.8,0.268,0.062,0.09,2017
34,Stn. XVI (Sta. Rosa),4,2,6.9,7.8,0.236,0.047,0.094,2017
35,Stn. XVII (Sanctuary),4,2,7,7.9,0.169,0.051,0.004,2017
36,Stn. XVIII (Pagsanjan),4,3,7.4,7.8,0.29,0.073,0.016,2017
37,Stn. I (Central West bay),5,2,7.3,8.3,0.289,0.143,0.001,2017
38,Stn. II (East Bay),5,2,7.7,6.6,0.062,0.008,0.001,2017
39,Stn. IV (Central Bay),5,3,8.4,8.7,0.067,0.026,0.001,2017
40,Stn. V ( Nothern West Bay),5,6,5.5,7.6,0.427,0.404,0.162,2017
41,Stn. VIII (South Bay),5,3,7.5,8,0.096,0.041,0.001,2017
