id,Station,Month,BOD,DO,pH,Phosphate,Ammonia,Nitrate,Year
1,Stn. 1 (Marikina),1,12,1.2,7.2,0.671,0.716,0.001,2017
2,Stn. 2 Bagumbayan (Taguig),1,128,0.05,7.2,1.234,6.84,0.122,2017
3,Stn. 3 Buli Creek (Taguig),1,62,0.05,7.3,1.012,5.55,0.078,2017
4,Stn. 4 Mangangate (Muntinlupa)-Down,1,12,0.05,7.5,0.639,4.3,0.118,2017
5,Stn. 4U Mangangate (Muntinlupa)-Up,1,7,4.1,7.8,0.812,3.52,0.419,2017
6,Stn. 5 Tunasan (Muntinlupa)-Down,1,60,0.05,7.4,1.022,3.32,0.182,2017
7,Stn. 5U Tunasan (Muntinlupa)-Up,1,13,2.2,7.7,0.654,9.7,0.953,2017
8,Stn. 6 San Pedro River (T2),1,14,0.7,7.7,0.51,7.02,0.045,2017
9,Stn. 7 (Binan),1,29,0.05,7.7,0.44,4.94,0.05,2017
10,Stn. 8 (Sta.Rosa)-Down,1,9,0.05,7.6,0.46,2.67,0.001,2017
11,Stn. 8M (Sta.Rosa)-M,1,14,0.8,8.1,0.5,3.59,0.001,2017
12,Stn. 8U (Sta.Rosa)-U,1,5,5.6,7.7,0.39,1.3,1.392,2017
13,Stn. 9 (Cabuyao),1,,,,,,,2017
14,Stn. 10 San Cristobal River (T3),1,55,0.67,6.9,0.614,0.786,0.001,2017
15,Stn. 11 San Juan River (T5),1,6,7.61,7.5,0.838,0.891,4.668,2017
16,Stn. 12 (Los Banos),1,3,6.62,7.1,0.415,0.069,1.169,2017
17,Stn. 13 Bay River (T9),1,5,7.8,7.9,0.438,0.166,0.889,2017
18,Stn. 14 (Pila),1,4,6.7,7.4,0.287,0.212,0.564,2017
19,Stn. 15 Sta.Cruz River (T6),1,1,8.2,7.4,0.46,0.201,1.112,2017
20,Stn. 16 Pagsanjan River (T8),1,2,,7.5,0.136,0.057,0.261,2017
21,Stn. 17 (Pangil)-Down,1,1,8.6,7.5,0.04,0.059,0.409,2017
22,Stn. 17U (Pangil)-Up,1,1,8.3,7.2,0.033,0.02,0.001,2017
23,Stn. 18 (Siniloan),1,3,6.7,7,0.084,0.455,0.001,2017
24,Stn. 19 (Sta.Maria)-Down,1,5,7,7.4,0.07,0.159,0.205,2017
25,Stn. 19U (Sta.Maria)-Up,1,5,8.9,7.5,0.051,0.052,0.001,2017
26,Stn. 20 (Jala-jala),1,3,6.8,6.7,0.001,0.061,0.137,2017
27,Stn. 21 (Pililla),1,5,2.9,7.3,0.277,0.233,0.329,2017
28,Stn. 22 A (Tanay) - Brgy. Wawa,1,4,6.7,7.6,0.15,0.082,0.953,2017
29,Stn. 22 B (Tanay) - Midstream,1,2,6.8,7.8,0.105,0.067,1.02,2017
30,Stn. 22 C (Tanay) - Daranak ,1,1,8,8.8,0.102,0.098,0.273,2017
31,Stn. 23 (Baras),1,7,1.8,7.2,0.345,0.426,1.018,2017
32,Stn. 24 (Morong)-Down,1,14,7.4,7.9,2.056,2.97,1.472,2017
33,Stn. 24U (Morong)-Up,1,14,6,7.9,2.416,4.5,0.72,2017
34,Stn. 25 Manggahan Floodway (Taytay),1,17,0.05,7.3,1.096,3.05,0.001,2017
35,Stn. 26 Sapang Baho (Cainta),1,21,0.05,7.3,1.099,0.384,0.001,2017
36,Stn. 27 (Angono),1,8,3.6,7.5,0.579,1.43,0.69,2017
37,Stn. 1 (Marikina),2,10,1.3,7.2,0.713,4.55,0.001,2017
38,Stn. 2 Bagumbayan (Taguig),2,57,0.05,6.5,1.43,9.66,0.036,2017
39,Stn. 3 Buli Creek (Taguig),2,103,0.05,7.2,1.62,9.73,0.001,2017
40,Stn. 4 Mangangate (Muntinlupa)-Down,2,29,0.05,7.5,1.35,7.75,0.001,2017
41,Stn. 4U Mangangate (Muntinlupa)-Up,2,9,3,7.5,0.91,4.55,0.176,2017
42,Stn. 5 Tunasan (Muntinlupa)-Down,2,77,0.05,7.1,2,5.15,0.139,2017
43,Stn. 5U Tunasan (Muntinlupa)-Up,2,192,0.05,6.8,2.25,3.65,0.009,2017
44,Stn. 6 San Pedro River (T2),2,13,0.2,7.5,1.61,5.58,0.04,2017
45,Stn. 7 (Binan),2,30,0.05,7.6,0.802,0.94,0.001,2017
46,Stn. 8 (Sta.Rosa)-Down,2,51,0.05,7.5,0.688,1.8,0.001,2017
47,Stn. 8M (Sta.Rosa)-M,2,45,1.8,7.4,0.996,3.84,0.001,2017
48,Stn. 8U (Sta.Rosa)-U,2,5,5.2,7.6,0.667,1.45,1.056,2017
49,Stn. 9 (Cabuyao),2,,,,,,,2017
50,Stn. 10 San Cristobal River (T3),2,81,0.05,7.1,0.81,2.06,0.001,2017
51,Stn. 11 San Juan River (T5),2,7,6.1,7.5,0.777,0.546,3.01,2017
52,Stn. 12 (Los Banos),2,4,6.2,7.1,0.46,0.197,1,2017
53,Stn. 13 Bay River (T9),2,3,7.5,7.9,0.438,0.097,0.533,2017
54,Stn. 14 (Pila),2,3,5.7,7.4,0.118,0.056,0.269,2017
55,Stn. 15 Sta.Cruz River (T6),2,1,6.7,7.5,0.358,0.154,0.57,2017
56,Stn. 16 Pagsanjan River (T8),2,1,7.3,7.5,0.095,0.07,0.333,2017
57,Stn. 17 (Pangil)-Down,2,1,8.4,7.6,0.079,0.197,0.188,2017
58,Stn. 17U (Pangil)-Up,2,1,8.7,7.2,0.053,0.047,0.008,2017
59,Stn. 18 (Siniloan),2,1,5.3,7.2,0.06,0.018,0.001,2017
60,Stn. 19 (Sta.Maria)-Down,2,2,7.4,7.5,0.052,0.104,0.309,2017
61,Stn. 19U (Sta.Maria)-Up,2,1,8.7,8,0.065,0.016,0.001,2017
62,Stn. 20 (Jala-jala),2,2,5.7,6.8,0.005,0.136,0.088,2017
63,Stn. 21 (Pililla),2,2,1.5,7.4,0.302,0.412,0.036,2017
64,Stn. 22 A (Tanay) - Brgy. Wawa,2,5,11.6,7.9,0.134,0.321,0.482,2017
65,Stn. 22 B (Tanay) - Midstream,2,5,11.6,8.5,0.09,0.039,0.435,2017
66,Stn. 22 C (Tanay) - Daranak ,2,5,8.5,8.3,0.07,0.031,0.21,2017
67,Stn. 23 (Baras),2,9,5.6,7.2,0.373,0.795,0.001,2017
68,Stn. 24 (Morong)-Down,2,12,4.5,7.9,1.91,4.44,0.498,2017
69,Stn. 24U (Morong)-Up,2,23,8,7.9,1.95,7.74,0.522,2017
70,Stn. 25 Manggahan Floodway (Taytay),2,,,7.3,,,,2017
71,Stn. 26 Sapang Baho (Cainta),2,25,0.05,7.3,1.19,6.23,0.001,2017
72,Stn. 27 (Angono),2,13,4.2,7.5,1.43,3.01,0.409,2017
73,Stn. 1 (Marikina),3,16,0.05,7.2,1,6.13,0.022,2017
74,Stn. 2 Bagumbayan (Taguig),3,336,0.05,7,2.09,30,0.037,2017
75,Stn. 3 Buli Creek (Taguig),3,206,0.05,7,2.25,28.8,0.032,2017
76,Stn. 4 Mangangate (Muntinlupa)-Down,3,46,0.05,7.4,1.51,6.76,0.017,2017
77,Stn. 4U Mangangate (Muntinlupa)-Up,3,5,3.7,7.6,0.993,3.91,0.183,2017
78,Stn. 5 Tunasan (Muntinlupa)-Down,3,306,0.05,6.6,1.91,6.98,0.054,2017
79,Stn. 5U Tunasan (Muntinlupa)-Up,3,38,1.3,7.9,2.56,9.18,0.056,2017
80,Stn. 6 San Pedro River (T2),3,31,0.05,7.5,1.848,7.61,0.069,2017
81,Stn. 7 (Binan),3,31,0.05,7.6,1.262,5.76,0.001,2017
82,Stn. 8 (Sta.Rosa)-Down,3,11,4.1,7.5,1.04,4.21,0.001,2017
83,Stn. 8M (Sta.Rosa)-M,3,16,1.5,7.4,0.93,4,0.001,2017
84,Stn. 8U (Sta.Rosa)-U,3,5,5.7,7.6,0.766,1.35,1.31,2017
85,Stn. 9 (Cabuyao),3,,,,,,,2017
86,Stn. 10 San Cristobal River (T3),3,100,0.05,6.8,0.772,0.787,0.001,2017
87,Stn. 11 San Juan River (T5),3,6,5.1,7.3,0.923,0.563,5.06,2017
88,Stn. 12 (Los Banos),3,7,4.2,7,0.539,1.07,1.3,2017
89,Stn. 13 Bay River (T9),3,2,7,7.8,0.441,0.063,0.472,2017
90,Stn. 14 (Pila),3,1,4.5,7.2,0.148,0.052,0.076,2017
91,Stn. 15 Sta.Cruz River (T6),3,3,5,7.3,0.422,0.597,0.614,2017
92,Stn. 16 Pagsanjan River (T8),3,1,7,7.3,0.144,0.06,0.142,2017
93,Stn. 17 (Pangil)-Down,3,1,10,7.3,0.105,0.043,0.001,2017
94,Stn. 17U (Pangil)-Up,3,1,9.4,7.4,0.122,0.023,0.001,2017
95,Stn. 18 (Siniloan),3,1,5.5,6.9,0.19,0.868,0.158,2017
96,Stn. 19 (Sta.Maria)-Down,3,2,8.7,7.4,0.125,0.067,0.127,2017
97,Stn. 19U (Sta.Maria)-Up,3,1,10.4,8,0.139,0.042,0.001,2017
98,Stn. 20 (Jala-jala),3,,,,,,,2017
99,Stn. 21 (Pililla),3,4,2.2,7.1,0.38,0.49,0.001,2017
100,Stn. 22 A (Tanay) - Brgy. Wawa,3,9,5.9,7.3,0.365,0.48,0.001,2017
101,Stn. 22 B (Tanay) - Midstream,3,3,10.7,8.1,0.088,0.066,0.42,2017
102,Stn. 22 C (Tanay) - Daranak ,3,2,5.3,8,0.087,0.057,0.145,2017
103,Stn. 23 (Baras),3,10,8.5,7.2,0.416,0.546,0.001,2017
104,Stn. 24 (Morong)-Down,3,13,7.6,7.3,1.68,2.1,0.105,2017
105,Stn. 24U (Morong)-Up,3,11,6,7.8,1.83,5.41,0.221,2017
106,Stn. 25 Manggahan Floodway (Taytay),3,47,0.05,6.9,1.58,6.64,0.004,2017
107,Stn. 26 Sapang Baho (Cainta),3,24,0.05,7.1,1.54,6.97,0.001,2017
108,Stn. 27 (Angono),3,14,3.4,7.2,0.643,2.61,0.367,2017
109,Stn. 1 (Marikina),4,,0.05,7.1,0.775,6.7,0.001,2017
110,Stn. 2 Bagumbayan (Taguig),4,,0.05,6.9,1.37,8.63,0.001,2017
111,Stn. 3 Buli Creek (Taguig),4,,0.05,6.4,2.51,8.43,0.193,2017
112,Stn. 4 Mangangate (Muntinlupa)-Down,4,,0.05,7.3,1.11,3.76,0.001,2017
