stationid,Barangay,Month,Year,pH,Ammonia,DO,Nitrate,Phosphate
1,Sampaloc,January ,2018,8.05,0.66,5.95,0.06,2.39
1,Quiling,January ,2018,8.06,0.56,3.37,0.14,2.27
1,San Isidro,January ,2018,8.01,0.56,3.6,0.14,2.38
2,Buso-Buso,January ,2018,8.04,0.61,3.04,0.08,2.31
2,Leviste,January ,2018,8.02,0.56,4.41,0.11,2.27
3,Bañaga,January ,2018,8,0.63,2.34,0.19,2.27
3,Manalaw,January ,2018,8.19,0.5,4.27,0.08,2.22
4,Mataas na Kahoy,January ,2018,8.15,0.53,5.1,0.12,2.24
5,Tanauan,January ,2018,8.15,0.53,5.2,0.12,2.24
1,Sampaloc,February,2018,7.8,0.53,4.2,0.11,2.47
1,Quiling,February,2018,7.9,0.32,6,0.38,2.43
1,San Isidro,February,2018,7.86,0.5,5,0.15,2.36
2,Buso-Buso,February,2018,7.7,0.61,5.6,0.22,2.41
2,Leviste,February,2018,7.89,0.49,4.95,0.17,2.38
3,Bañaga,February,2018,7.78,0.42,5.1,0.29,2.34
3,Manalaw,February,2018,7.86,0.34,5.3,0.36,2.35
4,Mataas na Kahoy,February,2018,7.86,0.34,4.8,0.36,2.35
5,Tanauan,February,2018,7.72,0.33,4.15,0.23,2.43
1,Sampaloc,March,2018,8.32,0.35,5.47,0.06,2.52
1,Quiling,March,2018,8.19,0.36,5.17,0.14,2.48
1,San Isidro,March,2018,8.16,0.36,4.85,0.14,2.45
2,Buso-Buso,March,2018,8.11,0.39,5.29,0.08,2.4
2,Leviste,March,2018,8.23,0.36,4.59,0.11,2.37
3,Bañaga,March,2018,8.19,0.42,3.53,0.19,2.43
3,Manalaw,March,2018,8.09,0.36,4.64,0.08,2.37
4,Mataas na Kahoy,March,2018,8.11,0.3,4.25,0.12,2.19
5,Tanauan,March,2018,8.15,0.34,4.14,0.12,2.48
1,Sampaloc,April,2018,8.41,0.36,4.55,0.11,2.38
1,Quiling,April,2018,8.46,0.36,5.74,0.38,2.4
1,San Isidro,April,2018,8.39,0.39,5.49,0.15,2.38
2,Buso-Buso,April,2018,8.12,0.36,3.35,0.22,2.35
2,Leviste,April,2018,8.32,0.42,4.43,0.17,2.37
3,Bañaga,April,2018,8.08,0.3,3.69,0.29,2.38
3,Manalaw,April,2018,8.33,0.34,5.01,0.36,2.35
4,Mataas na Kahoy,April,2018,8.11,0.36,4.1,0.36,
5,Tanauan,April,2018,8.04,0.36,4.1,0.23,2.33
1,Sampaloc,May,2018,8.31,0.08,6.37,0.11,2.32
1,Quiling,May,2018,8.27,,6.72,0.38,2.41
1,San Isidro,May,2018,8.35,0.03,6.39,0.15,2.44
2,Buso-Buso,May,2018,8.42,0.07,5.21,0.22,2.38
2,Leviste,May,2018,8.35,0.03,4.3,0.17,2.48
3,Bañaga,May,2018,8.38,0.02,5.24,0.29,2.46
3,Manalaw,May,2018,8.37,,5.29,0.36,2.39
4,Nangkaan,May,2018,8.64,0.3,7.12,0.19,2.51
5,Tanauan,May,2018,8.52,0.02,7.77,0.36,2.52
1,Sampaloc,June,2018,7.99,0.49,5.38,0.06,2.63
1,Quiling,June,2018,8.39,0.25,5.64,0.13,2.44
1,San Isidro,June,2018,8.33,0.31,5.47,0.09,2.45
2,Buso-Buso,June,2018,8.2,0.48,3.51,0.11,2.55
2,Leviste,June,2018,8.26,0.41,5.53,0.11,3.09
3,Bañaga,June,2018,8.44,0.39,3.61,0.12,2.43
3,Manalaw,June,2018,8.58,0.38,3.74,0.07,2.46
4,Nangkaan,June,2018,8.33,0.29,5.83,0.1,2.46
5,Tanauan,June,2018,8.3,0.37,5.68,0.02,2.58
1,Sampaloc,July,2018,8.24,0.37,5.08,0.03,2.55
1,Quiling,July,2018,8.23,0.17,5.92,0.05,2.51
1,San Isidro,July,2018,8.32,0.28,6.05,0.03,2.37
2,Buso-Buso,July,2018,8.31,0.31,5.29,0.07,2.6
2,Leviste,July,2018,8.33,0.25,5.73,0.02,2.58
3,Bañaga,July,2018,8.33,0.24,5.95,0.08,2.51
3,Manalaw,July,2018,8.34,0.37,5.21,0.11,2.52
4,Nangkaan,July,2018,8.34,0.28,5.84,0.11,2.48
5,Tanauan,July,2018,8.22,0.25,6.23,0.05,2.52
1,Sampaloc,August,2018,8.45,0.51,4.44,0.03,2.6
1,Quiling,August,2018,8.66,0.23,8.79,0.09,2.45
1,San Isidro,August,2018,8.52,0.88,6.86,0.03,2.56
2,Buso-Buso,August,2018,8.25,0.42,3.47,0.06,2.5
2,Leviste,August,2018,8.33,0.34,5.75,0.07,2.5
3,Bañaga,August,2018,8.21,0.31,5.26,0.08,2.38
3,Manalaw,August,2018,8.22,0.2,5.13,0.05,2.26
4,Nangkaan,August,2018,8.21,0.22,7.88,0.08,2.44
5,Tanauan,August,2018,8.24,0.22,7.23,0.04,2.49
1,Sampaloc,September,2018,8.28,0.46,7.22,0.12,2.51
1,Quiling,September,2018,8.11,0.25,9.26,0.05,2.18
1,San Isidro,September,2018,8.28,0.4,6.2,0.08,2.41
2,Buso-Buso,September,2018,8.23,0.5,3.54,0.04,2.47
2,Leviste,September,2018,8.26,0.35,5.49,0.05,2.46
3,Bañaga,September,2018,8.34,0.55,5.73,0.14,2.25
3,Manalaw,September,2018,8.37,0.2,5.51,0.09,2.3
4,Nangkaan,September,2018,8.34,0.55,8.64,0.03,2.5
5,Tanauan,September,2018,8.24,0.34,7,0.06,2.47
1,Sampaloc,October,2018,7.67,0.56,7.22,0.04,2.38
1,Quiling,October,2018,8,0.32,9.34,0.07,2.2
1,San Isidro,October,2018,8,0.29,6.33,0.04,2.31
2,Buso-Buso,October,2018,8,0.46,5.54,0.06,2.39
2,Leviste,October,2018,8.08,0.25,5.49,0.13,2.2
3,Bañaga,October,2018,8.08,0.27,5.73,0.14,2.3
3,Manalaw,October,2018,8,0.23,5.51,0.1,2.39
4,Nangkaan,October,2018,7.92,0.43,8.7,0.05,2.46
5,Tanauan,October,2018,8.25,0.34,5,0.01,2.45
1,Sampaloc,November,2018,7.58,0.5,5.13,0.01,2.6
1,Quiling,November,2018,7.83,0.12,5.34,0.02,2.39
1,San Isidro,November,2018,7.92,0.37,5.07,0.02,2.54
2,Buso-Buso,November,2018,7.83,0.51,4.45,0.07,2.25
2,Leviste,November,2018,8.08,0.29,5.38,0.03,2.51
3,Bañaga,November,2018,7.92,0.27,5.07,0.06,2.49
3,Manalaw,November,2018,8.25,0.26,5.44,0.05,2.48
4,Nangkaan,November,2018,7.83,0.25,4.97,0.06,2.48
5,Tanauan,November,2018,7.75,0.41,5.15,0.11,2.36
1,Sampaloc,December ,2018,7.67,0.17,3.64,0.11,2.6
1,Quiling,December ,2018,7.92,0.03,5.62,0.17,2.47
1,San Isidro,December ,2018,7.92,0.1,5.28,0.12,2.52
2,Buso-Buso,December ,2018,7.92,0.1,4.28,0.19,2.56
2,Leviste,December ,2018,7.83,,4.27,0.13,1.91
3,Bañaga,December ,2018,7.92,0.47,5.6,0.16,2.86
3,Manalaw,December ,2018,8.17,,5.23,0.1,2.43
4,Nangkaan,December ,2018,7.92,0.1,5.23,0.06,2.44
5,Tanauan,December ,2018,7.42,0.17,5.96,0.11,2.55
1,Sampaloc,January ,2019,8.15,0.29,3.42,0.24,2.46
1,Quiling,January ,2019,8.06,0.1,4.05,0.3,2.5
2,Buso-Buso,January ,2019,8.16,0.21,5.95,0.24,2.4
2,Leviste,January ,2019,8.24,0.15,4.06,0.25,2.36
3,Bañaga,January ,2019,8.18,0.16,5.22,0.24,2.34
3,Manalaw,January ,2019,8.2,0.13,4.15,0.2,2.31
4,Nangkaan,January ,2019,,0.18,4.1,0.16,2.1
5,Tanauan,January ,2019,8.17,0.08,5.11,0.24,2.58
1,Sampaloc,February,2019,7.75,0.01,5.94,0.28,2.31
1,Quiling,February,2019,7.75,0.02,5.79,0.28,2.43
1,San Isidro,February,2019,7.92,0.03,4.3,0.27,2.27
2,Buso-Buso,February,2019,7.83,0.07,4.24,0.26,2.33
2,Leviste,February,2019,7.83,0.03,3.51,0.26,2.44
3,Bañaga,February,2019,7.92,0.01,3.6,0.2,2.16
3,Manalaw,February,2019,7.75,0.01,3.62,0.16,2.53
4,Nangkaan,February,2019,8.12,0.16,3.25,0.14,
5,Tanauan,February,2019,7.83,0.01,5.92,0.31,2.43
1,Sampaloc,March,2019,7.83,0.13,5.47,0.21,2.37
1,Quiling,March,2019,8,0.31,5.1,0.22,2.52
1,San Isidro,March,2019,8,0.12,4.68,0.21,2.35
2,Buso-Buso,March,2019,7.83,0.09,5.32,0.23,2.41
